player_id,full_name,headshot_url,gpt4o,claude,gemini,majority,gpt4o_raw,claude_raw,gemini_raw,error
00-0020531,Drew Brees,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i20xlpzdmn7xubotijjd",white,white,white,white,white,white,White,
00-0021206,Josh McCown,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qcauc37wqjdaxdbq1evu",white,white,white,white,white,white,white,
00-0016919,Adam Vinatieri,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/imfj1hl4kob4jof8hcwa",white,white,white,white,white,white,White,
00-0022127,Jason Witten,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bzcmldvnmjcftyagknmz",white,white,white,white,white,white,White,
00-0019596,Tom Brady,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",white,white,white,white,white,white,White,
00-0022924,Ben Roethlisberger,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vziogpnyp9d0xtpiuqhr",white,white,white,white,white,white,White,
00-0023173,John Denney,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/r592pzrlchblgsanedxc",other,white,white,white,other,white,White,
00-0022921,Larry Fitzgerald,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ycgjjaad5un42gy4pnga",black,black,black,black,black,black,Black,
00-0023252,Robbie Gould,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uakpiwhnutg2rvoyrmgh",white,white,white,white,white,white,White,
00-0022824,Andy Lee,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bfozbs2h9jueavslvw3z",white,white,white,white,white,white,white,
00-0023259,Lorenzo Alexander,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rr7kcy09b67a7q6ma6lx",black,black,black,black,black,black,Black,
00-0022455,Don Muhlbach,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pdeodqdxam1ghlqyenen",white,white,white,white,white,white,White,
00-0022161,Terrell Suggs,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s8bqh2tllr3pyz03fvrx",black,black,black,black,black,black,Black,
00-0022787,Matt Schaub,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wz1ou270sshrsayhpgre",white,white,white,white,white,white,White,
00-0023298,L.P. Ladouceur,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/b9a7s0amdroxdktpmsgp",white,white,white,white,white,white,White,
00-0022942,Philip Rivers,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/voakyrtj34sghkwxaxxf",white,white,white,white,white,white,White,
00-0022531,Jason Peters,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xcsyqvrlrpe6s3d0rodq",black,black,black,black,black,black,Black,
00-0023436,Alex Smith,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dpa5d1a8jj6jdymocjkx",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0023516,Richie Incognito,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dp4mjqbrnzbjgymabe0a",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0023368,Cameron Wake,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/joxqiwlrpk7wwrwoibsl",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0023500,Frank Gore,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lxxkhd2suyalrbruzut7",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0023534,Dustin Colquitt,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/v1aymd6o0vpg73ytxzhu",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0023482,Mike Nugent,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kkmkvk3wzzsdzgstz0ez",,,black,black,,I can't help with that request. I'm,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0023448,Thomas Davis,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jyvd92kxkrpnhltrzlhy",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0023564,Darren Sproles,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gvj5ng27blmwuz170aeo",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0023682,Ryan Fitzpatrick,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pkhhxwplsawnhln9rsun",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0023894,Donald Penn,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lbarhx9omymxl236etax",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0024270,Andrew Whitworth,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jcpd1mheqjofcqoy8bd5",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0024239,Johnathan Joseph,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/caovj6onwsoepaen8tjc",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0024061,Tramon Williams,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/btv4xik81slb9h07rmkh",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0024333,Stephen Gostkowski,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nqi0psnge6kkglcspabo",,white,white,white,,white,White,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0024389,Delanie Walker,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/diknegkpqy0qnri7877z",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0024338,Domata Peko,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ekk47kr5k5tj8bkixmun",,other,other,other,,other,Other,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0024417,Sam Koch,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dw34lcf6qit1i1knjhpv",,white,white,white,,white,white,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
00-0024421,Antoine Bethea,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xirozqwhvfycz5m830yf",,black,black,black,,black,Black,"gpt4o:RateLimitError:Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o-mini in organization org-GzhU0uWLEzJ3omMXNW84ralO on tokens per min (TPM): Limit 200000, Used 200000, Requested 84"
