race,category,count,total_adjective_tokens,proportion
nonwhite,athleticism_physical,311,1520,0.20460526315789473
nonwhite,cognitive,342,1520,0.225
nonwhite,discipline_technical,410,1520,0.26973684210526316
nonwhite,instinct_raw,26,1520,0.017105263157894738
nonwhite,leadership,222,1520,0.14605263157894738
nonwhite,work_ethic,209,1520,0.1375
white,athleticism_physical,130,673,0.19316493313521546
white,cognitive,105,673,0.15601783060921248
white,discipline_technical,203,673,0.3016344725111441
white,instinct_raw,6,673,0.008915304606240713
white,leadership,142,673,0.21099554234769688
white,work_ethic,87,673,0.12927191679049035
